date,shift_group,alignment_variable,n_valid,optimal_shift_s,peak_r,peak_r_raw,zero_lag_r,peak_margin,second_peak_r,monotonic_halfwidth_s,left_halfwidth_s,right_halfwidth_s,concavity_fraction,decision,reason,n_vars_shifted
2022-01-24,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,20010,7.0,0.7543,0.7553,0.75,0.0032,0.7511,23.0,37.0,23.0,1.0,SHIFT,,14
2022-01-24,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,242,5.0,0.2386,0.2664,0.2055,0.0465,0.1921,25.0,35.0,25.0,1.0,SKIP,n_valid=242<300,0
2022-01-24,CCN,In-situ_Cloud_Condensation_Nuclei_Concentrations_From_the_DMT_CCN_Counter_on_the_NASA_HU-25_Falcon_N_CCN_stdPT,28310,15.0,0.8486,0.8558,0.8215,0.0103,0.8383,15.0,45.0,15.0,0.4762,SHIFT,,2
2022-01-24,Optical,In-situ_optical_aerosol_measurements_from_the_NASA_HU-25_Sc550_submicron,28518,1.0,0.8649,0.8655,0.8648,0.0021,0.8627,29.0,31.0,29.0,1.0,SHIFT,,20
2022-01-26,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,16673,3.0,0.7287,0.7302,0.7277,0.0049,0.7239,27.0,33.0,27.0,1.0,SHIFT,,14
2022-01-26,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,319,-10.0,0.6668,0.6689,0.6041,0.0188,0.648,20.0,20.0,20.0,0.9048,SHIFT,,15
2022-01-26,CCN,In-situ_Cloud_Condensation_Nuclei_Concentrations_From_the_DMT_CCN_Counter_on_the_NASA_HU-25_Falcon_N_CCN_stdPT,30167,12.0,0.6404,0.643,0.6247,0.0065,0.6339,18.0,42.0,18.0,0.7619,SHIFT,,2
2022-01-26,Optical,In-situ_optical_aerosol_measurements_from_the_NASA_HU-25_Sc550_submicron,30321,-9.0,0.4553,0.4561,0.4514,0.0019,0.4534,21.0,21.0,39.0,0.9524,SHIFT,,20
2022-01-27,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,14521,7.0,0.6976,0.6981,0.6933,0.0031,0.6945,23.0,37.0,23.0,1.0,SHIFT,,14
2022-01-27,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,148,-30.0,0.5504,0.5708,0.3962,0.0268,0.5237,0.0,0.0,9.0,0.4545,SKIP,n_valid=148<300; monotonic_halfwidth_s<5,0
2022-01-27,CCN,In-situ_Cloud_Condensation_Nuclei_Concentrations_From_the_DMT_CCN_Counter_on_the_NASA_HU-25_Falcon_N_CCN_stdPT,24724,30.0,0.8396,0.8396,0.8374,0.0002,0.8394,0.0,9.0,0.0,0.4545,SKIP,monotonic_halfwidth_s<5,0
2022-01-27,Optical,In-situ_optical_aerosol_measurements_from_the_NASA_HU-25_Sc550_submicron,19051,-1.0,0.5551,0.5581,0.555,0.0088,0.5463,29.0,29.0,31.0,0.8571,SHIFT,,20
2022-02-01,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,6609,3.0,0.863,0.8644,0.8621,0.0031,0.8598,27.0,33.0,27.0,1.0,SHIFT,,14
2022-02-01,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,247,16.0,0.4779,0.5105,-0.0185,0.053,0.4249,14.0,42.0,14.0,0.9048,SKIP,n_valid=247<300,0
2022-02-01,CCN,In-situ_Cloud_Condensation_Nuclei_Concentrations_From_the_DMT_CCN_Counter_on_the_NASA_HU-25_Falcon_N_CCN_stdPT,10931,13.0,0.796,0.799,0.7773,0.0062,0.7898,17.0,43.0,17.0,0.5714,SHIFT,,2
2022-02-01,Optical,In-situ_optical_aerosol_measurements_from_the_NASA_HU-25_Sc550_submicron,11213,-2.0,0.601,0.6033,0.6005,0.0053,0.5957,28.0,28.0,32.0,0.7619,SHIFT,,20
2022-02-02,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,9995,-1.0,0.8799,0.8804,0.8798,0.0016,0.8782,29.0,29.0,31.0,1.0,SHIFT,,14
2022-02-02,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,76,1.0,-0.0545,-0.0459,-0.057,0.0033,-0.0578,15.0,15.0,16.0,0.6667,SKIP,n_valid=76<300; peak_r<0.2,0
2022-02-02,CCN,In-situ_Cloud_Condensation_Nuclei_Concentrations_From_the_DMT_CCN_Counter_on_the_NASA_HU-25_Falcon_N_CCN_stdPT,12094,12.0,0.4548,0.4949,0.2713,0.0962,0.3586,18.0,42.0,18.0,0.5714,SHIFT,,2
